intersection,xIdx,yIdx,detectorX,detectorY,corners,gridX,gridY
X-5Y-6,-5,-6,6.37706377063771,24.7805664884841,2,-1.390614,-1.6687368
X-5Y-5,-5,-5,7.77570275702757,22.0098755550634,4,-1.390614,-1.390614
X-5Y-4,-5,-4,9.35534355343553,18.9542650036076,4,-1.390614,-1.1124912
X-5Y-3,-5,-3,10.8442334423344,16.1251967663103,4,-1.390614,-0.8343684
X-5Y-2,-5,-2,12.4081240812408,13.1798661230896,4,-1.390614,-0.5562456
X-5Y-1,-5,-1,13.9727647276473,10.2159761796746,4,-1.390614,-0.2781228
X-5Y+0,-5,0,15.4566545665457,7.2456669100924,4,-1.390614,0
X-5Y+1,-5,1,16.7215422154222,4.60472974427859,4,-1.390614,0.2781228
X-5Y+2,-5,2,17.8723037230372,2.18625497164535,4,-1.390614,0.5562456
X-5Y+3,-5,3,19.1863168631686,-0.542676905146499,4,-1.390614,0.8343684
X-5Y+4,-5,4,20.4334543345433,-3.03899306253633,4,-1.390614,1.1124912
X-5Y+5,-5,5,21.8815938159382,-5.70784941997009,4,-1.390614,1.390614
X-4Y-6,-4,-6,3.92253922539225,22.8943671792166,2,-1.1124912,-1.6687368
X-4Y-5,-4,-5,5.2720527205272,20.1785377082006,4,-1.1124912,-1.390614
X-4Y-4,-4,-4,6.81356813568136,17.1347992917798,4,-1.1124912,-1.1124912
X-4Y-3,-4,-3,8.35408354083541,14.1040120126951,4,-1.1124912,-0.8343684
X-4Y-2,-4,-2,9.90734907349073,11.0440708891999,4,-1.1124912,-0.5562456
X-4Y-1,-4,-1,11.4886148861489,8.01852411531575,4,-1.1124912,-0.2781228
X-4Y+0,-4,0,13.060380603806,5.14787501178902,4,-1.1124912,0
X-4Y+1,-4,1,14.5067700677007,2.54624761835943,4,-1.1124912,0.2781228
X-4Y+2,-4,2,15.8420334203342,0.00691554312424311,4,-1.1124912,0.5562456
X-4Y+3,-4,3,17.1140461404614,-2.48487169655614,4,-1.1124912,0.8343684
X-4Y+4,-4,4,18.3320583205832,-4.87460702955663,4,-1.1124912,1.1124912
X-4Y+5,-4,5,19.5130701307013,-7.20317886252062,4,-1.1124912,1.390614
X-3Y-6,-3,-6,1.2550125501255,21.0321774609766,2,-0.8343684,-1.6687368
X-3Y-5,-3,-5,2.64677646776468,18.3009855428298,4,-0.8343684,-1.390614
X-3Y-4,-3,-4,4.20316703167032,15.2454225823187,4,-0.8343684,-1.1124912
X-3Y-3,-3,-3,5.76955769557696,12.0657956894995,4,-0.8343684,-0.8343684
X-3Y-2,-3,-2,7.30544805448054,8.9046215540606,4,-0.8343684,-0.5562456
X-3Y-1,-3,-1,8.88183881838818,5.8339544110879,4,-0.8343684,-0.2781228
X-3Y+0,-3,0,10.4334793347933,3.07505799722613,4,-0.8343684,0
X-3Y+1,-3,1,11.9726197261973,0.394318859973317,4,-0.8343684,0.2781228
X-3Y+2,-3,2,13.4271342713427,-2.25443861371868,4,-0.8343684,0.5562456
X-3Y+3,-3,3,14.7305223052231,-4.70201709378804,4,-0.8343684,0.8343684
X-3Y+4,-3,4,15.9344093440934,-6.97086020935919,4,-0.8343684,1.1124912
X-3Y+5,-3,5,17.0136701367014,-8.98772235676966,4,-0.8343684,1.390614
X-2Y-6,-2,-6,-1.17726177261773,19.4523323760532,2,-0.5562456,-1.6687368
X-2Y-5,-2,-5,0.134751347513475,16.5232455820946,4,-0.5562456,-1.390614
X-2Y-4,-2,-4,1.57289072890729,13.3153734745802,4,-0.5562456,-1.1124912
X-2Y-3,-2,-3,3.08590585905859,10.0218492151333,4,-0.5562456,-0.8343684
X-2Y-2,-2,-2,4.63467134671347,6.85416557625189,4,-0.5562456,-0.5562456
X-2Y-1,-2,-1,6.20631206312063,3.90133018896795,4,-0.5562456,-0.2781228
X-2Y+0,-2,0,7.74945249452494,1.13401587640352,4,-0.5562456,0
X-2Y+1,-2,1,9.29809298092981,-1.69398927110567,4,-0.5562456,0.2781228
X-2Y+2,-2,2,10.8058580585806,-4.39212930832402,4,-0.5562456,0.5562456
X-2Y+3,-2,3,12.2333723337233,-6.86860339602154,4,-0.5562456,0.8343684
X-2Y+4,-2,4,13.5150101501015,-9.03186478050953,4,-0.5562456,1.1124912
X-2Y+5,-2,5,14.5888958889589,-10.8037209420296,4,-0.5562456,1.390614
X-1Y-6,-1,-6,-3.94678946789468,17.7264818830737,2,-0.2781228,-1.6687368
X-1Y-5,-1,-5,-2.55240052400524,14.7484825844601,4,-0.2781228,-1.390614
X-1Y-4,-1,-4,-1.040010400104,11.4399286349536,4,-0.2781228,-1.1124912
X-1Y-3,-1,-3,0.469379693796938,8.11681364541253,4,-0.2781228,-0.8343684
X-1Y-2,-1,-2,1.9710197101971,4.99489329657773,4,-0.2781228,-0.5562456
X-1Y-1,-1,-1,3.460034600346,2.12785013283684,4,-0.2781228,-0.2781228
X-1Y+0,-1,0,5.05780057800578,-0.820112069291088,4,-0.2781228,0
X-1Y+1,-1,1,6.61944119441194,-3.67429031866764,4,-0.2781228,0.2781228
X-1Y+2,-1,2,8.13645636456365,-6.35961317745571,4,-0.2781228,0.5562456
X-1Y+3,-1,3,9.63672136721367,-8.82094677072787,4,-0.2781228,0.8343684
X-1Y+4,-1,4,11.0251102511025,-10.9089348282791,4,-0.2781228,1.1124912
X-1Y+5,-1,5,12.1893718937189,-12.5918844608168,4,-0.2781228,1.390614
X+0Y-6,0,-6,-6.73081730817308,16.0040723514568,2,0,-1.6687368
