intersection,xIdx,yIdx,detectorX,detectorY,corners,gridX,gridY
X-5Y-6,-5,-6,-6.63544135441354,-22.1569531211354,4,-1.390614,-1.6687368
X-5Y-5,-5,-5,-3.41665916659167,-20.6172736568001,4,-1.390614,-1.390614
X-5Y-4,-5,-4,-1.11726117261173,-19.5364554230484,4,-1.390614,-1.1124912
X-5Y-3,-5,-3,1.24576245762458,-18.4486851760974,4,-1.390614,-0.8343684
X-5Y-2,-5,-2,3.67953679536795,-17.3546280614039,4,-1.390614,-0.5562456
X-5Y-1,-5,-1,6.37518875188752,-16.1374242468001,4,-1.390614,-0.2781228
X-5Y+0,-5,0,9.01471514715147,-14.8091844992213,4,-1.390614,0
X-5Y+1,-5,1,11.5262402624026,-13.2842349304452,4,-1.390614,0.2781228
X-5Y+2,-5,2,14.0470154701547,-11.6160941574578,4,-1.390614,0.5562456
X-5Y+3,-5,3,16.6222912229122,-9.91535847598327,4,-1.390614,0.8343684
X-5Y+4,-5,4,19.3951939519395,-8.12105600428928,4,-1.390614,1.1124912
X-5Y+5,-5,5,21.9908449084491,-6.50942499926815,4,-1.390614,1.390614
X-4Y-6,-4,-6,-8.32295822958229,-19.4362727866637,4,-1.1124912,-1.6687368
X-4Y-5,-4,-5,-5.20492704927049,-18.4579931452561,4,-1.1124912,-1.390614
X-4Y-4,-4,-4,-2.77377773777738,-17.7056821118294,4,-1.1124912,-1.1124912
X-4Y-3,-4,-3,-0.2660026600266,-16.8799424627951,4,-1.1124912,-0.8343684
X-4Y-2,-4,-2,2.36139861398614,-15.851789421217,4,-1.1124912,-0.5562456
X-4Y-1,-4,-1,5.05517555175552,-14.6231177350949,4,-1.1124912,-0.2781228
X-4Y+0,-4,0,7.70745207452075,-13.1930196087865,4,-1.1124912,0
X-4Y+1,-4,1,10.2911029110291,-11.5673717807984,4,-1.1124912,0.2781228
X-4Y+2,-4,2,12.8115031150311,-9.68474298240418,4,-1.1124912,0.5562456
X-4Y+3,-4,3,15.2594025940259,-7.60066855159989,4,-1.1124912,0.8343684
X-4Y+4,-4,4,17.750302503025,-5.36432958560518,4,-1.1124912,1.1124912
X-4Y+5,-4,5,20.0954509545095,-3.27699614675478,4,-1.1124912,1.390614
X-3Y-6,-3,-6,-9.67447174471745,-17.3292435761681,4,-0.8343684,-1.6687368
X-3Y-5,-3,-5,-6.78081780817808,-16.585744322672,4,-0.8343684,-1.390614
X-3Y-4,-3,-4,-4.34979349793498,-15.9570860033993,4,-0.8343684,-1.1124912
X-3Y-3,-3,-3,-1.83626836268363,-15.1358445998244,4,-0.8343684,-0.8343684
X-3Y-2,-3,-2,0.827258272582726,-14.0115547564755,4,-0.8343684,-0.5562456
X-3Y-1,-3,-1,3.49790997909979,-12.686156083963,4,-0.8343684,-0.2781228
X-3Y+0,-3,0,6.19643696436964,-11.1918464247678,4,-0.8343684,0
X-3Y+1,-3,1,8.82921329213292,-9.45840802273148,4,-0.8343684,0.2781228
X-3Y+2,-3,2,11.4257392573926,-7.53125118676576,4,-0.8343684,0.5562456
X-3Y+3,-3,3,13.990139901399,-5.46889877505229,4,-0.8343684,0.8343684
X-3Y+4,-3,4,16.5322903229032,-3.32537041780839,4,-0.8343684,1.1124912
X-3Y+5,-3,5,18.9254392543925,-1.27644572555163,4,-0.8343684,1.390614
X-2Y-6,-2,-6,-11.09998599986,-15.1549046912984,4,-0.5562456,-1.6687368
X-2Y-5,-2,-5,-8.47058470584706,-14.5758729525787,4,-0.5562456,-1.390614
X-2Y-4,-2,-4,-6.04343543435434,-13.9152444673805,4,-0.5562456,-1.1124912
X-2Y-3,-2,-3,-3.49315993159932,-12.9997583261434,4,-0.5562456,-0.8343684
X-2Y-2,-2,-2,-0.797757977579776,-11.85664741827,4,-0.5562456,-0.5562456
X-2Y-1,-2,-1,1.90076900769008,-10.445680948474,4,-0.5562456,-0.2781228
X-2Y+0,-2,0,4.59717097170972,-8.84862653174789,4,-0.5562456,0
X-2Y+1,-2,1,7.28732287322873,-7.08507520730227,4,-0.5562456,0.2781228
X-2Y+2,-2,2,9.91784917849178,-5.18893825967837,4,-0.5562456,0.5562456
X-2Y+3,-2,3,12.5745007450074,-3.15116823403296,4,-0.5562456,0.8343684
X-2Y+4,-2,4,15.1474014740147,-1.05596160363461,4,-0.5562456,1.1124912
X-2Y+5,-2,5,17.60005100051,0.999318646188071,4,-0.5562456,1.390614
X-1Y-6,-1,-6,-12.5111251112511,-13.0318195806583,4,-0.2781228,-1.6687368
X-1Y-5,-1,-5,-10.1824768247682,-12.4171948359234,4,-0.2781228,-1.390614
X-1Y-4,-1,-4,-7.69357693576936,-11.6364757142606,4,-0.2781228,-1.1124912
X-1Y-3,-1,-3,-5.11267612676127,-10.5971037168044,4,-0.2781228,-0.8343684
