intersection,xIdx,yIdx,detectorX,detectorY,corners,gridX,gridY
X-5Y-6,-5,-6,-6.85969359693597,-23.3351949120792,4,-1.390614,-1.6687368
X-5Y-5,-5,-5,-4.34991849918499,-21.7580525507526,4,-1.390614,-1.390614
X-5Y-4,-5,-4,-1.71051710517105,-20.2096690195606,4,-1.390614,-1.1124912
X-5Y-3,-5,-3,0.866633666336663,-18.7646525497798,4,-1.390614,-0.8343684
X-5Y-2,-5,-2,3.36190861908619,-17.3870168536693,4,-1.390614,-0.5562456
X-5Y-1,-5,-1,6.04418544185442,-15.8412035573841,4,-1.390614,-0.2781228
X-5Y+0,-5,0,8.77146271462715,-14.1186479071391,4,-1.390614,0
X-5Y+1,-5,1,11.4681146811468,-12.2528404483192,4,-1.390614,0.2781228
X-5Y+2,-5,2,14.2086420864209,-10.2660247965448,4,-1.390614,0.5562456
X-5Y+3,-5,3,16.9634196341963,-8.27526646409739,4,-1.390614,0.8343684
X-5Y+4,-5,4,19.7256972569726,-6.34832724689336,4,-1.390614,1.1124912
X-5Y+5,-5,5,22.5333503335033,-4.52861435240008,4,-1.390614,1.390614
X-4Y-6,-4,-6,-8.01758017580176,-20.8522281438844,4,-1.1124912,-1.6687368
X-4Y-5,-4,-5,-5.49830498304983,-19.3292099261231,4,-1.1124912,-1.390614
X-4Y-4,-4,-4,-2.96677966779668,-17.8516879122493,4,-1.1124912,-1.1124912
X-4Y-3,-4,-3,-0.511130111301113,-16.411766232172,4,-1.1124912,-0.8343684
X-4Y-2,-4,-2,1.87151871518715,-14.8747259335674,4,-1.1124912,-0.5562456
X-4Y-1,-4,-1,4.32579325793258,-13.1844603612057,4,-1.1124912,-0.2781228
X-4Y+0,-4,0,6.89281892818928,-11.3401829117126,4,-1.1124912,0
X-4Y+1,-4,1,9.469969699697,-9.42511760337153,4,-1.1124912,0.2781228
X-4Y+2,-4,2,12.1229962299623,-7.45669434610667,4,-1.1124912,0.5562456
X-4Y+3,-4,3,14.8005230052301,-5.54582533958945,4,-1.1124912,0.8343684
X-4Y+4,-4,4,17.5648006480065,-3.65178217985747,4,-1.1124912,1.1124912
X-4Y+5,-4,5,20.3952039520395,-1.72908513597027,4,-1.1124912,1.390614
X-3Y-6,-3,-6,-9.2869678696787,-18.1521318134221,4,-0.8343684,-1.6687368
X-3Y-5,-3,-5,-6.78331783317833,-16.6253333006654,4,-0.8343684,-1.390614
X-3Y-4,-3,-4,-4.37829378293783,-15.1633302069362,4,-0.8343684,-1.1124912
X-3Y-3,-3,-3,-2.02452024520245,-13.6895183037253,4,-0.8343684,-0.8343684
X-3Y-2,-3,-2,0.3240032400324,-12.1794626816221,4,-0.8343684,-0.5562456
X-3Y-1,-3,-1,2.74427744277443,-10.5513235073488,4,-0.8343684,-0.2781228
X-3Y+0,-3,0,5.23992739927399,-8.75818608269248,4,-0.8343684,0
X-3Y+1,-3,1,7.78170281702817,-6.87757072408102,4,-0.8343684,0.2781228
X-3Y+2,-3,2,10.3491034910349,-4.99378336517734,4,-0.8343684,0.5562456
X-3Y+3,-3,3,12.9248792487925,-3.09648657659403,4,-0.8343684,0.8343684
X-3Y+4,-3,4,15.6150311503115,-1.20161606098433,4,-0.8343684,1.1124912
X-3Y+5,-3,5,18.4310593105931,0.681390629802897,4,-0.8343684,1.390614
X-2Y-6,-2,-6,-10.670231702317,-15.2273922129354,4,-0.5562456,-1.6687368
X-2Y-5,-2,-5,-8.13708137081371,-13.7790193680081,4,-0.5562456,-1.390614
X-2Y-4,-2,-4,-5.78380783807838,-12.3892166525075,4,-0.5562456,-1.1124912
X-2Y-3,-2,-3,-3.46015960159602,-10.9884604482878,4,-0.5562456,-0.8343684
X-2Y-2,-2,-2,-1.13363633636336,-9.55707518041882,4,-0.5562456,-0.5562456
X-2Y-1,-2,-1,1.28963789637896,-7.97770999891901,4,-0.5562456,-0.2781228
X-2Y+0,-2,0,3.73366233662337,-6.29743610025188,4,-0.5562456,0
X-2Y+1,-2,1,6.27031270312703,-4.50253713065711,4,-0.5562456,0.2781228
X-2Y+2,-2,2,8.77133771337713,-2.72680085648126,4,-0.5562456,0.5562456
