intersection,xIdx,yIdx,detectorX,detectorY,corners,gridX,gridY
X-5Y-6,-5,-6,-4.89892398923989,-24.3341469898423,4,-1.390614,-1.6687368
X-5Y-5,-5,-5,-2.47689976899769,-22.4614443864109,4,-1.390614,-1.390614
X-5Y-4,-5,-4,0.142876428764288,-20.5460282312304,4,-1.390614,-1.1124912
X-5Y-3,-5,-3,2.76665266652667,-18.703365084665,4,-1.390614,-0.8343684
X-5Y-2,-5,-2,5.2040520405204,-17.0226487228429,4,-1.390614,-0.5562456
X-5Y-1,-5,-1,7.71057710577106,-15.282122796623,4,-1.390614,-0.2781228
X-5Y+0,-5,0,10.2316023160232,-13.4826497254137,4,-1.390614,0
X-5Y+1,-5,1,12.8830038300383,-11.5363440419326,4,-1.390614,0.2781228
X-5Y+2,-5,2,15.5422804228042,-9.53462109851806,4,-1.390614,0.5562456
X-5Y+3,-5,3,18.2984329843298,-7.44660647969055,4,-1.390614,0.8343684
X-5Y+4,-5,4,21.0649606496065,-5.29936903456975,4,-1.390614,1.1124912
X-5Y+5,-5,5,23.0609806098061,-3.68350636392255,4,-1.390614,1.390614
X-4Y-6,-4,-6,-6.63906639066391,-20.787717846097,4,-1.1124912,-1.6687368
X-4Y-5,-4,-5,-4.06654066540665,-19.3527853085552,4,-1.1124912,-1.390614
X-4Y-4,-4,-4,-1.44951449514495,-17.8439283260318,4,-1.1124912,-1.1124912
X-4Y-3,-4,-3,1.22076220762208,-16.2524529275382,4,-1.1124912,-0.8343684
X-4Y-2,-4,-2,3.70753707537075,-14.5957732580503,4,-1.1124912,-0.5562456
X-4Y-1,-4,-1,6.12468624686247,-12.8556485446712,4,-1.1124912,-0.2781228
X-4Y+0,-4,0,8.5439604396044,-11.0168456261858,4,-1.1124912,0
X-4Y+1,-4,1,11.0781107811078,-9.02862942537064,4,-1.1124912,0.2781228
X-4Y+2,-4,2,13.6785117851179,-6.92891924971103,4,-1.1124912,0.5562456
X-4Y+3,-4,3,16.2554125541255,-4.87389406836288,4,-1.1124912,0.8343684
X-4Y+4,-4,4,19.0348153481535,-2.80098972745188,4,-1.1124912,1.1124912
X-4Y+5,-4,5,21.3478384783848,-1.0265285612144,4,-1.1124912,1.390614
X-3Y-6,-3,-6,-8.05245552455525,-17.9506523294492,4,-0.8343684,-1.6687368
X-3Y-5,-3,-5,-5.51218012180122,-16.5368791940632,4,-0.8343684,-1.390614
