intersection,xIdx,yIdx,detectorX,detectorY,corners,gridX,gridY
X-5Y-6,-5,-6,15.8949625118307,-15.7745503994372,1,-1.390614,-1.6687368
X-5Y-5,-5,-5,15.7593791630873,-12.3823513777583,2,-1.390614,-1.390614
X-5Y-4,-5,-4,15.6575531176051,-8.94308310570574,2,-1.390614,-1.1124912
X-5Y-3,-5,-3,15.5892982663514,-5.97847314763189,2,-1.390614,-0.8343684
X-5Y-2,-5,-2,15.5297339419219,-2.91720993954585,2,-1.390614,-0.5562456
X-5Y-1,-5,-1,15.4742632690304,0.0977431469871091,2,-1.390614,-0.2781228
X-5Y+0,-5,0,15.391195097227,3.15429685725182,2,-1.390614,0
X-5Y+1,-5,1,15.2867108836993,6.11375629514702,2,-1.390614,0.2781228
X-5Y+2,-5,2,15.1844991949819,9.0039511294678,2,-1.390614,0.5562456
X-5Y+3,-5,3,15.0749061225128,12.1213634321243,2,-1.390614,0.8343684
X-5Y+4,-5,4,14.9773539149712,14.923627764569,2,-1.390614,1.1124912
X-5Y+5,-5,5,14.9013477729782,17.1320046651837,2,-1.390614,1.390614
X-4Y-6,-4,-6,13.719394962181,-16.0075085783749,2,-1.1124912,-1.6687368
X-4Y-5,-4,-5,13.5267760164181,-12.654097508568,4,-1.1124912,-1.390614
X-4Y-4,-4,-4,13.3420701551896,-9.35598126430975,4,-1.1124912,-1.1124912
X-4Y-3,-4,-3,13.1773163586377,-6.38241062135167,4,-1.1124912,-0.8343684
X-4Y-2,-4,-2,13.0029189893003,-3.32204210141413,4,-1.1124912,-0.5562456
X-4Y-1,-4,-1,12.8508095815219,-0.35027097167204,4,-1.1124912,-0.2781228
X-4Y+0,-4,0,12.6930996821528,2.63880009209047,4,-1.1124912,0
X-4Y+1,-4,1,12.5154019548732,5.60405133037983,4,-1.1124912,0.2781228
X-4Y+2,-4,2,12.3689057291221,8.56094453058305,4,-1.1124912,0.5562456
X-4Y+3,-4,3,12.268829503783,11.6513400609923,4,-1.1124912,0.8343684
X-4Y+4,-4,4,12.1823132910555,14.6266208361824,4,-1.1124912,1.1124912
X-4Y+5,-4,5,12.1051958040779,17.0430749308402,4,-1.1124912,1.390614
X-3Y-6,-3,-6,10.5741479387965,-16.2591842647122,2,-0.8343684,-1.6687368
X-3Y-5,-3,-5,10.4668896427233,-13.0195268287017,4,-0.8343684,-1.390614
X-3Y-4,-3,-4,10.3672034036984,-9.88195535717718,4,-0.8343684,-1.1124912
X-3Y-3,-3,-3,10.2798741696666,-6.82738196918584,4,-0.8343684,-0.8343684
X-3Y-2,-3,-2,10.1810511430256,-3.78971638396481,4,-0.8343684,-0.5562456
X-3Y-1,-3,-1,10.0754835079344,-0.802433190260767,4,-0.8343684,-0.2781228
X-3Y+0,-3,0,9.93987099156034,2.20241143856115,4,-0.8343684,0
X-3Y+1,-3,1,9.74543337102206,5.16956864021645,4,-0.8343684,0.2781228
X-3Y+2,-3,2,9.56316296861004,8.14399994385181,4,-0.8343684,0.5562456
X-3Y+3,-3,3,9.46933091196746,11.1915101546892,4,-0.8343684,0.8343684
X-3Y+4,-3,4,9.44597029558544,14.3304801745374,4,-0.8343684,1.1124912
X-3Y+5,-3,5,9.43114799260822,16.9832339769635,4,-0.8343684,1.390614
X-2Y-6,-2,-6,7.5890055238499,-16.4279525787284,2,-0.5562456,-1.6687368
X-2Y-5,-2,-5,7.5362535491862,-13.354890034729,4,-0.5562456,-1.390614
X-2Y-4,-2,-4,7.46670814863947,-10.3112145605923,4,-0.5562456,-1.1124912
X-2Y-3,-2,-3,7.38537535161206,-7.23965497304419,4,-0.5562456,-0.8343684
X-2Y-2,-2,-2,7.33070231357019,-4.21942030342537,4,-0.5562456,-0.5562456
X-2Y-1,-2,-1,7.26884396199256,-1.19273077291691,4,-0.5562456,-0.2781228
X-2Y+0,-2,0,7.16662227408268,1.86034837131075,4,-0.5562456,0
X-2Y+1,-2,1,7.03303235754572,4.87259628481422,4,-0.5562456,0.2781228
X-2Y+2,-2,2,6.88494158590899,7.83212770452893,4,-0.5562456,0.5562456
X-2Y+3,-2,3,6.737656711919,10.8521555709194,4,-0.5562456,0.8343684
X-2Y+4,-2,4,6.59893048474417,14.019608774451,4,-0.5562456,1.1124912
X-2Y+5,-2,5,6.47624523058696,16.9379429892243,4,-0.5562456,1.390614
X-1Y-6,-1,-6,4.63664458471372,-16.5585418970957,2,-0.2781228,-1.6687368
X-1Y-5,-1,-5,4.6084591375583,-13.668531135309,4,-0.2781228,-1.390614
X-1Y-4,-1,-4,4.57112717347325,-10.6212608745395,4,-0.2781228,-1.1124912
X-1Y-3,-1,-3,4.49617339293654,-7.56535277332987,4,-0.2781228,-0.8343684
X-1Y-2,-1,-2,4.40578166308243,-4.5376839997028,4,-0.2781228,-0.5562456
X-1Y-1,-1,-1,4.3420183133267,-1.51459402582715,4,-0.2781228,-0.2781228
X-1Y+0,-1,0,4.2871607843945,1.54582150120014,4,-0.2781228,0
X-1Y+1,-1,1,4.21546887941499,4.62477951060454,4,-0.2781228,0.2781228
X-1Y+2,-1,2,4.09190826123826,7.61989833342874,4,-0.2781228,0.5562456
X-1Y+3,-1,3,3.94540627452719,10.6616824043649,4,-0.2781228,0.8343684
X-1Y+4,-1,4,3.76556612768006,13.7651242821266,4,-0.2781228,1.1124912
